third_level_sjf_percent,third_level_fcfs_percent,runs,process_count,completed,makespan,throughput,avg_turnaround_time,avg_waiting_time,avg_response_time,cpu_utilization
0,100,10,300.0,300.0,153073.6,0.0019633692349207846,102324.24933333333,101814.00433333333,7409.806,0.9999993232726535
25,75,10,300.0,300.0,153073.6,0.0019633692349207846,58366.000666666674,57855.755666666664,7409.806,0.9999993232726535
50,50,10,300.0,300.0,153073.6,0.0019633692349207846,57900.24766666667,57390.00266666666,7409.806,0.9999993232726535
75,25,10,300.0,300.0,153073.6,0.0019633692349207846,57595.33833333333,57085.09333333334,7409.806,0.9999993232726535
100,0,10,300.0,300.0,153073.6,0.0019633692349207846,57483.42133333334,56973.17633333333,7409.806,0.9999993232726535
