process_count,arrival_window,service_capacity,distribution,model,arrival_rate,service_rate,servers,utilization,stable,avg_queue_length,avg_system_length,avg_waiting_time,avg_response_time,probability_wait
1000,100,5,poisson,M/M/S,10.0,1.25,4,2.0,False,inf,inf,inf,inf,1.0
1000,100,10,poisson,M/M/1,10.0,10,1,1.0,False,inf,inf,inf,inf,1.0
1000,100,10,poisson,M/M/S,10.0,2.5,4,1.0,False,inf,inf,inf,inf,1.0
1000,100,20,poisson,M/M/1,10.0,20,1,0.5,True,0.5,1.0,0.05,0.1,0.5
1000,100,20,poisson,M/M/S,10.0,5.0,4,0.5,True,0.17391304347826086,2.1739130434782608,0.017391304347826087,0.2173913043478261,0.17391304347826086
1000,200,5,poisson,M/M/1,5.0,5,1,1.0,False,inf,inf,inf,inf,1.0
1000,200,5,poisson,M/M/S,5.0,1.25,4,1.0,False,inf,inf,inf,inf,1.0
1000,200,10,poisson,M/M/1,5.0,10,1,0.5,True,0.5,1.0,0.1,0.2,0.5
1000,200,10,poisson,M/M/S,5.0,2.5,4,0.5,True,0.17391304347826086,2.1739130434782608,0.034782608695652174,0.4347826086956522,0.17391304347826086
1000,200,20,poisson,M/M/1,5.0,20,1,0.25,True,0.08333333333333333,0.3333333333333333,0.016666666666666666,0.06666666666666667,0.25
1000,200,20,poisson,M/M/S,5.0,5.0,4,0.25,True,0.006802721088435374,1.0068027210884354,0.0013605442176870747,0.2013605442176871,0.02040816326530612
