config,model,arrival_rate,service_rate,servers,utilization,stable,avg_queue_length,avg_system_length,avg_waiting_time,avg_response_time,probability_wait
queueing_baseline.json,M/M/1,10.0,10,1,1.0,False,inf,inf,inf,inf,1.0
queueing_baseline.json,M/M/S,10.0,10.0,2,0.5,True,0.3333333333333333,1.3333333333333333,0.03333333333333333,0.13333333333333333,0.3333333333333333
